run_id,stream,file,create_utc,write_utc,bytes
20260714.112046,ForwardRight,000000220500.jpg,2026-07-14T15:25:53.717Z,2026-07-14T15:25:53.717Z,569267
20260714.112046,ForwardRight,000000221000.jpg,2026-07-14T15:25:54.135Z,2026-07-14T15:25:54.135Z,579232
20260714.112046,ForwardRight,000000221500.jpg,2026-07-14T15:25:54.551Z,2026-07-14T15:25:54.555Z,575215
20260714.112046,ForwardRight,000000222000.jpg,2026-07-14T15:25:54.978Z,2026-07-14T15:25:54.978Z,567300
20260714.112046,ForwardRight,000000222500.jpg,2026-07-14T15:25:55.405Z,2026-07-14T15:25:55.405Z,565174
20260714.112046,ForwardRight,000000223000.jpg,2026-07-14T15:25:55.873Z,2026-07-14T15:25:55.875Z,557323
20260714.112046,ForwardRight,000000223500.jpg,2026-07-14T15:25:56.390Z,2026-07-14T15:25:56.393Z,547767
20260714.112046,ForwardRight,000000224000.jpg,2026-07-14T15:25:56.968Z,2026-07-14T15:25:56.968Z,553119
20260714.112046,ForwardRight,000000224500.jpg,2026-07-14T15:25:57.594Z,2026-07-14T15:25:57.594Z,541666
20260714.112046,ForwardRight,000000225000.jpg,2026-07-14T15:25:58.367Z,2026-07-14T15:25:58.367Z,541235
20260714.112046,ForwardRight,000000225500.jpg,2026-07-14T15:25:59.231Z,2026-07-14T15:25:59.234Z,551362
20260714.112046,ForwardRight,000000226000.jpg,2026-07-14T15:26:00.911Z,2026-07-14T15:26:00.911Z,550132
20260714.112046,ForwardRight,000000226500.jpg,2026-07-14T15:26:41.285Z,2026-07-14T15:26:41.285Z,550835
20260714.112046,ForwardRight,000000227000.jpg,2026-07-14T15:28:48.339Z,2026-07-14T15:28:48.339Z,549748
20260714.112046,ForwardRight,000000227500.jpg,2026-07-14T15:28:49.215Z,2026-07-14T15:28:49.218Z,549819
20260714.112046,ForwardRight,000000228000.jpg,2026-07-14T15:28:49.967Z,2026-07-14T15:28:49.972Z,552257
20260714.112046,ForwardRight,000000228500.jpg,2026-07-14T15:28:50.629Z,2026-07-14T15:28:50.634Z,555603
20260714.112046,ForwardRight,000000229000.jpg,2026-07-14T15:28:51.253Z,2026-07-14T15:28:51.257Z,553730
20260714.112046,ForwardRight,000000229500.jpg,2026-07-14T15:28:51.877Z,2026-07-14T15:28:51.882Z,566414
20260714.112046,ForwardRight,000000230000.jpg,2026-07-14T15:28:52.485Z,2026-07-14T15:28:52.487Z,579554
20260714.112046,ForwardRight,000000230500.jpg,2026-07-14T15:28:53.088Z,2026-07-14T15:28:53.088Z,610906
20260714.112046,ForwardRight,000000231000.jpg,2026-07-14T15:28:53.688Z,2026-07-14T15:28:53.691Z,629696
